Accuracy_Score
45.08
49.42
43.38
53.53
47.51
34.81
27.78
27.25
35.08
32.42
81.99
33.16
28.68
31.66
55.36
36.69
38.07
25.1
27.07
34.61
51.28
34.29
33.46
